"surge" "Hs"
0.25 0.5
0.293103448275862 0.724137931034483
0.336206896551724 0.948275862068966
0.379310344827586 1.17241379310345
0.422413793103448 1.39655172413793
0.46551724137931 1.62068965517241
0.508620689655172 1.8448275862069
0.551724137931035 2.06896551724138
0.594827586206897 2.29310344827586
0.637931034482759 2.51724137931034
0.68103448275862 2.74137931034483
0.724137931034483 2.96551724137931
0.767241379310345 3.18965517241379
0.810344827586207 3.41379310344828
0.85344827586207 3.63793103448276
0.89655172413793 3.86206896551724
0.93965517241379 4.08620689655172
0.98275862068966 4.31034482758621
1.02586206896552 4.53448275862069
1.06896551724138 4.75862068965517
1.11206896551724 4.98275862068965
1.1551724137931 5.20689655172414
1.19827586206897 5.43103448275862
1.24137931034483 5.6551724137931
1.28448275862069 5.87931034482759
1.32758620689655 6.10344827586207
1.37068965517241 6.32758620689655
1.41379310344828 6.55172413793103
1.45689655172414 6.77586206896552
1.5 7
