"d";"r";"mean_keff+3*sigma_keff";"N(mean_keff,sigma_keff)";"mean_keff"
"10.0 - 18.74";"1.0 - 20.0";


15.24;16.2;1.35505;N(1.3528,7.5E-4);1.3528
16.12;16.2;1.40567;N(1.40339,7.6E-4);1.40339
16.99;16.2;1.4506299999999999;N(1.44817,8.2E-4);1.44817
17.87;16.2;1.49439;N(1.49208,7.7E-4);1.49208
18.74;16.2;1.5335299999999998;N(1.5311,8.1E-4);1.5311
10.0;18.1;1.0855299999999999;N(1.08361,6.4E-4);1.08361
10.87;18.1;1.15743;N(1.15542,6.7E-4);1.15542
11.75;18.1;1.22698;N(1.22485,7.1E-4);1.22485
12.62;18.1;1.28793;N(1.2858,7.1E-4);1.2858
13.50;18.1;1.34835;N(1.34628,6.9E-4);1.34628
14.37;18.1;1.4023700000000001;N(1.40012,7.5E-4);1.40012
15.24;18.1;1.4514500000000001;N(1.44917,7.6E-4);1.44917
16.12;18.1;1.49905;N(1.49662,8.1E-4);1.49662
16.99;18.1;1.54435;N(1.54192,8.1E-4);1.54192
17.87;18.1;1.58509;N(1.5826,8.3E-4);1.5826
18.74;18.1;1.62003;N(1.61766,7.9E-4);1.61766
10.0;20.0;1.1709;N(1.16886,6.8E-4);1.16886
10.87;20.0;1.2442199999999999;N(1.24212,7.0E-4);1.24212
11.75;20.0;1.31341;N(1.31128,7.1E-4);1.31128
12.62;20.0;1.37515;N(1.3729,7.5E-4);1.3729
13.50;20.0;1.43379;N(1.43142,7.9E-4);1.43142
14.37;20.0;1.48634;N(1.48397,7.9E-4);1.48397
15.24;20.0;1.53489;N(1.53252,7.9E-4);1.53252
16.12;20.0;1.5815;N(1.57916,7.8E-4);1.57916
16.99;20.0;1.62358;N(1.62103,8.5E-4);1.62103
17.87;20.0;1.66076;N(1.65827,8.3E-4);1.65827
18.74;20.0;1.69711;N(1.69465,8.2E-4);1.69465
